X,Y,Z
0.515187,0.43399,0.0249009
0.28065,0.0879888,0.519463
-0.342819,0.294081,1.08396
-0.769549,0.445016,0.530454
-0.532005,0.73681,0.202247
0.225708,-0.394593,0.640779
0.253918,0.134529,-0.00544078
-0.517125,0.1712,0.430597
0.315976,0.148363,0.814063
0.244218,0.0981373,1.01017
0.308455,-0.106774,1.17214
-0.0590715,0.254873,1.01703
-0.0479768,0.0260476,1.09838
-0.249422,0.650956,0.630815
0.49611,-0.102348,0.43055
0.166044,0.40674,-0.0638651
-0.749441,-0.298032,0.767692
0.376334,0.420542,0.865661
-0.100289,0.173445,1.16647
0.447961,-0.398704,0.549841
0.123912,0.105635,1.14333
0.359142,-0.0367433,0.928521
0.355812,0.398043,0.50678
-0.744869,0.160983,0.71145
0.412728,0.308967,0.314679
-0.443682,-0.062953,1.10968
0.103472,0.814546,0.129755
0.504085,0.337471,0.699518
-0.062195,-0.419367,-0.00259453
-0.459035,0.382434,0.320137
0.142614,0.507822,0.942669
-0.537502,-0.217011,0.959322
-0.492317,0.372067,0.70485
0.678691,0.331877,0.161372
-0.566474,0.429854,0.538109
-0.338431,-0.392524,0.754967
0.25522,0.410389,1.04951
-0.208887,0.356034,1.04954
0.667935,-0.0791339,0.466393
0.544046,0.0168038,0.942132
0.262287,0.384839,1.046
-0.548564,-0.0462516,0.982902
-0.462858,0.237198,0.0342456
-0.453588,0.263881,0.370668
-0.191773,0.752238,0.638293
-0.172883,0.405007,0.502567
-0.413054,-0.105559,0.308195
0.319138,-0.0731731,1.04801
0.023623,0.145797,1.21425
-0.308939,-0.131276,1.14982
0.537866,0.0599532,0.535671
-0.567248,0.178337,0.127856
-0.21157,-0.0934215,1.02648
-0.0224605,-0.37819,0.844037
-0.0378952,0.802907,0.0701052
0.150659,0.181566,1.11955
-0.660684,0.460151,0.389676
-0.646612,-0.376544,0.864203
-0.238746,0.58202,0.726159
0.541043,0.3692,0.573849
-0.0434843,-0.164623,0.998377
-0.133833,-0.164297,1.07984
0.695971,0.140755,0.637024
0.407216,-0.320859,0.46301
0.674737,0.130238,0.171526
-0.802458,-0.137623,0.751373
0.407003,-0.0161244,0.989644
0.0570797,-0.459931,0.768633
0.281139,0.173993,0.66038
0.10908,0.0843923,1.17788
0.0666364,0.783822,0.235168
-0.601541,0.441006,0.00419226
-0.459054,0.709646,0.033499
-0.129698,0.0294143,1.23086
0.357582,0.519846,0.800512
0.128964,-0.214354,1.13213
-0.245098,0.352897,1.06699
-0.29619,-0.159852,0.937837
-0.0694915,0.189618,1.15421
0.334399,0.344357,0.783191
0.402781,0.481933,0.901964
0.148061,0.615277,0.34579
-0.291236,0.55493,0.669215
0.414226,0.454981,0.825525
0.0263198,0.64499,0.574482
-0.257478,0.678679,0.533379
0.411027,0.390223,0.0364317
-0.0921193,0.593144,0.482878
-0.363293,-0.527324,0.598001
-0.308309,-0.620424,0.387543
-0.354431,-0.424545,1.04349
0.701283,0.125694,0.235058
-0.523147,0.375509,0.325149
0.0646246,0.0731465,1.23705
0.328233,0.75262,0.212636
-0.57819,-0.327408,0.36031
